episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
0,13,-7.8379160150848532,-0.14560832277716143,0.18001418166171754,0.0,0.0,0.0
1,1,-0.30551248934487035,-0.30551248934487035,-101.85689477051334,0.0,0.0,0.0
2,12,-8.5244902973669969,-0.19115696403366336,0.22474746800723747,0.0,0.0,0.0
3,3,-33.465691135087148,-0.13235780175381992,-0.37926964527039075,0.0,0.0,0.0
4,13,-7.8527141163869105,-0.16040642407921865,-1.0609139773205571,0.0,0.0,0.0
5,8,-0.36524028165292055,-0.36524028165292055,-12.588761824275601,0.0,0.0,0.0
6,4,-0.28397230266722245,-0.28397230266722245,-26.239963487342667,0.0,0.0,0.0
7,6,-0.28250221845498263,-0.28250221845498263,-17.643875983138241,0.0,0.0,0.0
8,35,-0.22091906332462838,-0.22091906332462838,-2.7339612470539643,0.0,0.0,0.0
9,11,-9.3459527106238802,-0.25504361971479012,0.24122610978114781,0.0,0.0,0.0
10,21,-5.0692231879732788,-0.30731842606851711,-4.6080480542793305,0.0,0.0,0.0
11,46,4.1949457033506761,4.1949457033506761,-3.8316112679722303,2.0,0.0,2.0
12,5,-0.33330030753113438,-0.33330030753113438,-21.118535172819456,0.0,0.0,0.0
13,3,-0.15148174439306764,-33.484815077726402,0.17720735845254013,0.0,0.0,0.0
14,9,-0.2011427479711794,-0.2011427479711794,-11.325994142740367,0.0,0.0,0.0
15,3,-0.21895583778506836,-33.552289171118403,0.23503526502617519,0.0,0.0,0.0
16,5,-0.27667650724643994,-0.27667650724643994,-20.884473906873986,0.0,0.0,0.0
17,14,-0.32864982361678347,-0.32864982361678347,-7.1218363824759274,0.0,0.0,0.0
18,50,-2.1426326330095029,-0.14263263300950282,0.16579434516387243,0.0,0.0,0.0
19,49,3.9479548028274563,1.907138476296844,-3.9303296415854745,0.0,2.0,2.0
20,18,-5.7465735011123078,-0.19101794555675197,0.22984910529251337,0.0,0.0,0.0
